0.424,2.2005,0,0.53897,1.2251,0.47323
0.425,2.2005,0,0.53897,1.2247,0.47311
0.426,2.2005,0,0.53897,1.2243,0.47298
0.427,2.2005,0,0.53897,1.2239,0.47286
0.428,2.2005,0,0.53897,1.2235,0.47274
0.429,2.2005,0,0.53897,1.2231,0.47261
0.43,2.2005,0,0.53897,1.2226,0.47249
0.431,2.2005,0,0.53897,1.2222,0.47236
0.432,2.2005,0,0.53897,1.2218,0.47224
0.433,2.2005,0,0.53897,1.2214,0.47212
0.434,2.2005,0,0.53897,1.221,0.47199
0.435,2.2005,0,0.53897,1.2206,0.47187
0.436,2.2005,0,0.53897,1.2201,0.47174
0.437,2.2005,0,0.53897,1.2197,0.47162
0.438,2.2005,0,0.53897,1.2193,0.4715
0.439,2.2005,0,0.53897,1.2189,0.47137
0.44,2.2005,0,0.53897,1.2185,0.47125
0.441,2.2005,0,0.53897,1.2181,0.47112
0.442,2.2005,0,0.53897,1.2177,0.471
0.443,2.2005,0,0.53897,1.2172,0.47088
0.444,2.2005,0,0.53897,1.2168,0.47075
0.445,2.2005,0,0.53897,1.2164,0.47063
0.446,2.2005,0,0.53897,1.216,0.4705
0.447,2.2005,0,0.53897,1.2156,0.47038
0.448,2.2005,0,0.53897,1.2152,0.47026
0.449,2.2005,0,0.53897,1.2148,0.47013
0.45,2.2005,0,0.53897,1.2143,0.47001
0.451,2.2005,0,0.53897,1.2139,0.46989
0.452,2.2005,0,0.53897,1.2135,0.46976
0.453,2.2005,0,0.53897,1.2131,0.46964
0.454,2.2005,0,0.53897,1.2127,0.46951
0.455,2.2005,0,0.53897,1.2123,0.46939
0.456,2.2005,0,0.53897,1.2118,0.46927
0.457,2.2005,0,0.53897,1.2114,0.46914
0.458,2.2005,0,0.53897,1.211,0.46902
0.459,2.2005,0,0.53897,1.2106,0.46889
0.46,2.2005,0,0.53897,1.2102,0.46877
0.461,2.2005,0,0.53897,1.2098,0.46865
0.462,2.2005,0,0.53897,1.2094,0.46852
0.463,2.2005,0,0.53897,1.2089,0.4684
0.464,2.2005,0,0.53897,1.2085,0.46827
